plan_amount_inr,tenure_days,risk_tier,collateral_type,locked_token,price_inr,stress_drop_pct,fees_buffer_pct,outstanding_debt_inr,required_collateral_inr
121654.92858630829,30,HIGH,volatile,11.698896128566188,33815.892052845404,0.2,0.02814972745318481,125991.36526346348,539741.6160711859
167730.43931802158,30,LOW,volatile,10.93689543914849,17445.412502276482,0.2,0.04944824931243488,137833.64705221003,258302.28499158905
29572.98079672679,180,LOW,volatile,1.157149691167521,35000.143252284215,0.2,0.048443046150072076,28366.67107657262,53108.64112974811
29079.342587627943,30,MEDIUM,volatile,0.8772071143147966,37755.75186022151,0.2,0.02665165576168319,29813.440374630394,76520.04481141627
126047.24680768342,30,LOW,volatile,1.459313372594157,43499.54203457625,0.2,0.021017559385996473,98847.83890989584,180223.89148993214
59256.57984855081,60,LOW,stable,224.61003635529156,80.14239399854206,0.02,0.029209202118319004,43167.41632355478,64764.28879282088
129255.9173065801,180,LOW,stable,1485.926507653655,81.4807687581941,0.02,0.04163886038455597,93903.46226568408,142585.2702924072
164296.05738297664,180,MEDIUM,volatile,4.536457878195618,43305.865735134066,0.2,0.025054700335097095,119204.6378027624,305478.185703661
16297.231686521465,120,MEDIUM,volatile,0.6873469499473418,38757.77923745493,0.2,0.05760292004700089,13407.44402258013,35449.379871618636
169054.33049247874,30,MEDIUM,volatile,15.369534699627554,15100.155206240921,0.2,0.05130955060568343,125806.02679405265,330652.6937308551
8479.485914533834,120,MEDIUM,stable,149.65235907960778,79.33549392530664,0.02,0.028969409115729733,7137.6839364057,14988.69065815961
179866.4108724738,180,MEDIUM,stable,3461.8575373694607,87.4312157154144,0.02,0.024522154320744047,173381.2648728129,362516.2183803058
195148.01017840632,60,MEDIUM,volatile,4.72733918306727,33150.95325508724,0.2,0.022702756928162923,156972.99428117584,401341.7850365682
133823.58528969574,60,LOW,volatile,7.615779263927882,23483.611722025416,0.2,0.05278655057126097,116131.62068793742,218324.65777911383
196866.80568389062,180,LOW,volatile,3.3566999873105017,36901.32568502541,0.2,0.05528478908113729,146582.90484576044,276226.26754117623
164576.37658359218,30,MEDIUM,volatile,4.416352355854021,20601.813954511446,0.2,0.04104112261735085,155426.16031742792,404512.5610523987
9828.734526628768,180,MEDIUM,volatile,0.4863685539698694,40036.00574875364,0.2,0.04258480326240884,7972.9335675665625,20781.148437414096
1758.377896290905,90,MEDIUM,volatile,0.17371039177978342,17187.038623883753,0.2,0.03688807055027339,1314.0868262702738,3406.4023845672914
5138.899395030852,120,MEDIUM,stable,133.11109733951318,75.1909085615511,0.02,0.05194082307907302,5314.31415798634,11408.865325414126
90929.48502395676,60,MEDIUM,volatile,6.5989804417414435,18957.800065642146,0.2,0.054946007718506384,88144.1201420962,232468.21911941195
125053.13961241521,120,MEDIUM,volatile,10.1207010583996,26536.34945578728,0.2,0.03256085134799168,116088.66729569912,299671.53283675207
96812.89271740528,180,MEDIUM,volatile,3.235534041917587,34700.47402782443,0.2,0.05602138579658361,92267.51533048955,243591.17350827774
135748.93483709786,90,LOW,volatile,3.3724823246352975,29417.94533977234,0.2,0.02966818963604398,115240.29962289994,211891.55479611905
90470.92418846284,60,LOW,stable,786.4969729082951,73.45720869024288,0.02,0.028816503534634157,72776.24851823841,109144.90603629977
9470.196818967343,30,LOW,stable,128.16154764822016,84.56003113517758,0.02,0.05405204774788823,8286.378004744727,12732.177411536795
46007.174265353104,180,LOW,volatile,1.1267471273694032,31778.04656191742,0.2,0.040812651632891224,45493.74827294989,84554.40852265757
198532.22308433734,180,LOW,volatile,3.3189047694060694,30228.210836941085,0.2,0.022093854129097822,205942.92284878367,375880.3495448656
69826.90370203432,120,HIGH,stable,1232.8774537977943,77.94977445529616,0.02,0.02407695978895024,63671.55436223647,221784.25787862588
65628.38181120115,30,LOW,volatile,1.390331022794057,44352.41866271346,0.2,0.03152612921245008,54584.82301211673,100545.84142042043
31405.61775481569,180,LOW,stable,310.7852193226755,70.10336874565371,0.02,0.02713445667502822,29878.42842105413,44736.389712191194
197441.60070167296,90,LOW,volatile,15.205008460959414,19666.989151709477,0.2,0.05985340002663932,186379.68363618295,352741.3239244605
46861.40499692715,60,LOW,volatile,0.6252542191996386,29771.039444429553,0.2,0.04869455295615997,36861.76671496822,69029.88208272832
129718.48688351682,60,MEDIUM,stable,2466.0130810663895,75.04056189065963,0.02,0.03754665573027612,110575.91799730048,234138.1100457232
9367.444172286874,180,MEDIUM,volatile,0.5673769431797316,15650.035890934429,0.2,0.052276105355199984,6996.588698933947,18405.857767216046
14227.993682607681,120,MEDIUM,volatile,0.27700721785123883,40709.76769939599,0.2,0.031762678386986376,11962.860355922408,30857.082104990004
143633.5877666837,90,MEDIUM,volatile,6.186546120824419,23493.484823634302,0.2,0.02116183204869028,138888.23302894965,354568.4062246191
127398.46440649813,120,LOW,stable,666.4669449532613,88.41948851548788,0.02,0.03460388264434122,103175.67971271588,155606.35397266014
136352.31672851043,180,HIGH,stable,5354.804801984634,80.48004306897415,0.02,0.034320367238240286,125657.03847634266,442073.585656192
46963.11102210813,120,LOW,volatile,0.7932018551209167,41157.58729192417,0.2,0.025605604709279396,38259.784532229096,70070.4454486135
196992.90752192592,60,LOW,volatile,9.989155640998307,25766.75637416885,0.2,0.0452193927119524,148037.46832153585,276306.4870315189
112116.65726949087,30,LOW,volatile,4.450653390651979,20608.834646861535,0.2,0.035463723966152404,107574.3231406349,198909.48078989293
193940.086281469,30,MEDIUM,volatile,5.914227008540824,15592.336797855227,0.2,0.03193769625046343,175760.00398376788,453433.4340099542
33669.94004210066,60,MEDIUM,volatile,0.7384993968754556,24263.56303103745,0.2,0.04417658089372928,33296.54653349594,86918.68528728686
81614.80245841469,120,LOW,stable,695.3203200969981,89.34954284284967,0.02,0.0489066252750229,76524.80859114368,117007.84071305189
67801.41827870389,30,MEDIUM,volatile,10.687355187772326,16053.529729156804,0.2,0.059627788680412394,66853.36829350684,177099.2170267146
151259.9104144666,30,LOW,volatile,4.974759889490162,31660.807788716604,0.2,0.05540340924972138,114085.03871566983,215010.2478659007
149766.71578491316,180,MEDIUM,stable,2516.3445337436187,92.06645824858641,0.02,0.020618935008104487,137052.16345801807,285465.3736919981
97822.21487062096,90,LOW,stable,765.5651516707204,90.77310557424937,0.02,0.02607070707676627,81053.77598869133,121234.55574337949
4213.452839249925,30,LOW,volatile,0.17754419675369895,19004.186538083057,0.2,0.041812011200181076,4050.2964185759515,7535.084746059826
35865.936126808956,180,LOW,volatile,1.7653686688090695,26492.2960276495,0.2,0.03853238459392371,32388.02045269802,60064.3002018165
11002.867754823106,180,MEDIUM,volatile,0.3418305728836335,44035.262715867,0.2,0.05491746403847782,7910.655188348645,20862.720775438946
169555.8992805866,90,LOW,stable,692.7140407769621,77.04646994640618,0.02,0.052583444179705494,150352.18322715614,230697.1120425338
58664.54189225565,30,LOW,volatile,1.8845843659767896,38788.83745383783,0.2,0.04115209161862919,56347.407874772834,104761.10993947813
24466.604743233962,120,LOW,stable,266.2380267570571,86.16547025850664,0.02,0.05796385058673831,19376.962209046338,29883.56494366819
71480.30069103664,180,HIGH,stable,1534.1655075127212,80.95979768956633,0.02,0.034378380694884275,66411.22351541484,233654.19673415247
16380.573917106178,180,HIGH,volatile,0.8016176887318773,44967.77204870198,0.2,0.046082792149748183,16287.598098274879,70992.40040023465
195792.5698449004,90,MEDIUM,volatile,9.778347270480191,34450.88899120837,0.2,0.04784113363495456,141520.5611924273,370727.66318131983
63686.572368212,180,LOW,volatile,1.630702435662821,34945.03319279993,0.2,0.040340689420985246,57464.89290408234,106755.47553810019
186680.27307907087,180,HIGH,volatile,13.327023237495426,27777.716518504654,0.2,0.028629305225993943,188670.34345683453,808632.6846114723
136863.00948124457,30,MEDIUM,volatile,6.259337745113455,37834.38861962117,0.2,0.026197641153114702,101859.87892657472,261320.91870648207
113655.29049737468,120,MEDIUM,stable,2774.976690257601,74.02871843230514,0.02,0.02646196775473299,90269.20129803328,189097.75916740275
95623.9024273689,120,LOW,stable,597.9483575122806,81.27036051917449,0.02,0.03551663596300544,87885.38644562883,132662.94420187507
137788.64125387414,120,LOW,volatile,6.2457252026684005,20172.045477787688,0.2,0.046844810402242004,124673.14146491184,233059.69846265632
137568.79137568752,90,LOW,volatile,1.224370756941257,40982.164372321844,0.2,0.03240115153531361,134499.44492698475,247959.6103990706
3093.69109139212,120,HIGH,volatile,0.4586593038946378,17374.248737302027,0.2,0.054422152660386844,2846.7171104651075,12506.83993179906
181648.9653601395,90,MEDIUM,volatile,7.536907437317053,25774.034843112866,0.2,0.043836670091206065,163764.85368519177,427359.3988718104
74224.72066709283,60,LOW,stable,1217.4163628745086,74.67111463925046,0.02,0.038161820906603916,63695.79450902899,96394.37611018425
71301.3511870561,90,LOW,stable,1036.4871209056007,77.16105878462271,0.02,0.03285708160936966,51863.69366400949,78087.14763745073
81911.51823271584,180,MEDIUM,volatile,2.0393020761121154,28414.811825805802,0.2,0.024535788633931785,74283.99209652237,190266.52106371825
137371.27825647788,180,LOW,stable,1989.043601434581,77.39655968343843,0.02,0.042002815692985446,103690.45649631988,157501.08983914918
75827.52947388771,120,HIGH,volatile,7.733010661482573,17449.344276123586,0.2,0.035126588815101716,79508.75295226746,342923.4342684303
75392.38132351337,60,MEDIUM,volatile,2.516382757300124,27521.620504497594,0.2,0.058514334759377076,54846.074768580846,145138.3908695685
13629.511046060277,60,MEDIUM,volatile,0.851372622441436,30434.699667453093,0.2,0.049696877761500016,9901.849401622818,25984.851002370124
83911.69122095873,60,LOW,volatile,2.135563794461202,37110.943163216216,0.2,0.025408918129797054,81861.3343220762,149895.25404261032
30746.21693170701,60,MEDIUM,stable,126.86927150516902,81.57082613449126,0.02,0.04224237166576175,22611.008974894517,48094.18697908141
171262.2615578963,180,MEDIUM,stable,860.2239097979761,88.98624396278322,0.02,0.05495476482202981,144164.58095023484,310381.86039188056
67567.70555626004,90,MEDIUM,stable,809.4494410861367,93.02018151132853,0.02,0.05756937749427532,69231.53731553462,149422.76290155438
192212.6122142724,60,LOW,stable,3131.9987952704946,91.92010499763904,0.02,0.05726098621258148,187553.16008942173,289056.32507788367
137221.07251082943,180,LOW,stable,609.7870055876576,75.50947436978268,0.02,0.052684649141659615,107237.55027964308,164558.77987017084
151474.15543063742,60,LOW,stable,804.0990192549377,83.87968153058927,0.02,0.03108643853063371,119340.49673275993,179373.7139193268
189602.4850991464,120,MEDIUM,stable,4894.706395322977,80.2663699764025,0.02,0.04528468146508202,172025.3088314653,366970.2451955726
48548.018397516345,120,LOW,stable,442.0278656905565,83.3090653557249,0.02,0.048398903900451505,42249.09257294756,64568.37076423751
113890.90296876118,60,LOW,volatile,8.236179236131798,18988.687863899944,0.2,0.053363644925069675,84377.35404971933,158714.35216240256
9104.435094417877,180,LOW,stable,73.14445537225936,78.86197855985654,0.02,0.05545159214387897,6878.642610207012,10583.198680366937
21050.978903183146,120,MEDIUM,volatile,1.9065139384895167,18792.586270625234,0.2,0.041249272627401204,20651.29904218592,53757.8752662176
73950.7970737888,180,LOW,volatile,3.320466833977156,35474.546948956195,0.2,0.03293499218710752,60689.70104695909,111943.77835139033
136817.8682743631,30,HIGH,stable,6558.294689032569,76.76408480021331,0.02,0.041049332029648736,134034.2113514864,474613.01427410095
166507.02687870135,60,MEDIUM,volatile,2.7006605063610976,43572.22566168565,0.2,0.056883038735344865,127617.57129111937,337192.1163554569
52024.43629222109,60,LOW,volatile,2.0475248214234,34769.488438931934,0.2,0.04104672206292562,47331.90419213254,87990.57805038577
150066.36551388382,120,MEDIUM,volatile,4.495084805849377,43665.87739811232,0.2,0.025632701648039723,131576.3967117148,337372.63808137574
45633.94033216194,180,LOW,stable,255.66017449487956,73.58079179543294,0.02,0.037398802635475265,37156.74761325859,56190.037148430056
2205.0656171498786,30,HIGH,volatile,0.0933439864317285,21069.56572890147,0.2,0.050445042690379215,2013.229238212837,8811.611137833346
11828.191966191125,30,MEDIUM,volatile,0.7631811365993192,20045.302425914466,0.2,0.05894529735424531,8795.292085370404,23284.332981650005
117526.16593833856,120,MEDIUM,volatile,2.2770756921440785,38036.670405592144,0.2,0.03690098711532395,117498.42282970613,304585.57654154
99932.36167276841,60,LOW,stable,1818.0943607436711,84.52994566901171,0.02,0.051885333616410914,95953.47183499168,147131.2678320745
54814.620357957014,120,MEDIUM,stable,486.4870885209183,80.63328599188593,0.02,0.030912510931573385,43875.85112096288,92310.53846606475
2303.02386196249,30,MEDIUM,volatile,0.20176174136038383,15885.166340029087,0.2,0.034547376107811376,2079.7528845863626,5379.0072242536835
114034.05950142685,90,HIGH,stable,3807.4140253149226,91.16290066471265,0.02,0.03191788300838662,115831.1355310479,406558.57198522607
163703.72072910066,30,MEDIUM,stable,2668.7800129911307,73.00422863411227,0.02,0.047127302084411134,138789.1074445582,296591.55844310956
14640.430706752319,180,MEDIUM,volatile,0.5176892827935601,33347.05278198114,0.2,0.0566932775523159,12110.118676944696,31991.702490720512
147558.4170213677,30,LOW,volatile,5.4161759291739,38464.946892625965,0.2,0.052753283132457016,144552.8721751485,271747.3406582393
127273.97779084949,30,LOW,stable,590.1982412858486,86.84811832228229,0.02,0.04373388844512039,89144.61681139798,135631.57075584645
96391.59966802584,30,MEDIUM,stable,1345.2609783460002,91.87594440133697,0.02,0.041395035807513345,90630.3347363551,192616.28711839474
10619.929640234384,60,LOW,volatile,0.5030796491344505,32873.371817151274,0.2,0.05401665995516762,8236.09656328183,15501.755340533122
184790.71186206685,90,LOW,volatile,11.271353947969544,26458.820946569667,0.2,0.05751380447744675,174255.13700180346,329066.4515723498
96010.75679642179,120,HIGH,volatile,4.053114121945244,44372.432244472686,0.2,0.05116916236755374,81922.65215282551,358810.6901767252
80521.7852153596,180,HIGH,volatile,6.442832905038372,39348.733618325175,0.2,0.046253153017908485,56937.2223641075,248211.45176053853
172433.60501545924,180,LOW,stable,3589.222116088078,73.17192327285865,0.02,0.05187926965446367,173466.645740303,265985.37701271067
169270.06756776382,30,MEDIUM,stable,1651.82030561129,86.09027761252088,0.02,0.039486756586452926,150868.53487978238,320052.74284313293
145724.92964700473,90,LOW,volatile,5.327686604062184,42686.55650853657,0.2,0.036976281878970785,118002.28242726714,218509.94300832087
166042.6365971017,180,MEDIUM,stable,2426.735544225355,89.06288336553901,0.02,0.058538115835998814,157106.6989811119,339394.7533156727
25741.367715605174,30,LOW,volatile,1.5050106735983275,28903.271186857688,0.2,0.04207510573557588,22487.122787099517,41845.126528670735
152422.19546098803,120,MEDIUM,volatile,11.354705358835231,17319.11209734633,0.2,0.04301622230511473,108559.96637468642,283074.51505423925
66278.78251384143,90,MEDIUM,stable,466.2628457299261,79.15459635911903,0.02,0.024687614346467063,61479.518662204435,128565.9210390681
173631.46390018726,30,MEDIUM,volatile,6.597472135636641,23144.627556947355,0.2,0.04059394780957592,180461.4424883256,469467.7121658437
74676.06173138498,30,LOW,stable,683.3519908986679,83.10865190966074,0.02,0.035148573485496784,58075.035588022576,87633.07615752338
11806.486471895012,60,HIGH,volatile,0.4227944381069323,26731.82433720985,0.2,0.031173720676730077,11830.384371907372,50829.9227908982
83461.66711730276,30,LOW,volatile,8.029411233270459,16070.667668260217,0.2,0.05859662765456357,76563.41174503692,144731.7312053998
151598.6299801959,30,LOW,volatile,3.0137721021224793,32935.92512587663,0.2,0.05717336748801137,110252.29199446285,208135.3335733175
100685.48013490008,90,MEDIUM,stable,642.0872327634346,73.89492093729044,0.02,0.0591060367503769,96204.09452708525,207939.46382395897
152963.1484499847,120,LOW,volatile,5.276550237216945,35849.97856994484,0.2,0.0339951290586524,130710.30732329651,241346.1090893716
8019.474432355297,90,HIGH,volatile,1.6234623034588767,15685.337277995277,0.2,0.046008149517639055,7841.497365553353,34176.12561995794
36255.67651660478,120,HIGH,volatile,2.2282737212726755,20267.466730494038,0.2,0.032318964806886785,33446.25845869015,143863.36211974415
113157.978277516,30,LOW,volatile,1.3984543625951367,38170.56826008713,0.2,0.03778233578016604,79320.87225102332,146996.0715728342
77677.43701567868,60,HIGH,stable,2002.4819028972568,87.95189175911212,0.02,0.03065488594954508,57807.86106606822,202652.90630624382
136354.97299036974,120,LOW,volatile,4.602051609104797,15271.639248626094,0.2,0.043377567690129765,112268.39429696291,209175.57887507428
192548.29239096396,30,MEDIUM,stable,900.539226855216,80.46866343199876,0.02,0.031550168564324646,167256.88378151038,352109.93195583817
132312.53017940227,90,LOW,volatile,10.005000346332391,27498.059067631802,0.2,0.031726568518872345,135785.01306478513,250166.0814028947
84055.21608163737,30,HIGH,stable,1735.2153387352794,77.81254790591275,0.02,0.036851265358635504,83020.51929918071,292788.87920437596
108930.4396702248,90,LOW,stable,2180.175933623085,73.05408795016767,0.02,0.020915516673324776,106813.42127949333,158961.3399026231
182652.46985753794,120,LOW,volatile,6.7920823864129645,25810.943586966292,0.2,0.05593379974700592,162350.96533328688,306128.3423517358
134924.86008578038,180,LOW,stable,1749.075824884174,90.38481281284247,0.02,0.028884042274009602,98832.76990969274,148232.44870819498
160832.72005315102,30,HIGH,volatile,9.677571556336225,40823.318814585364,0.2,0.04523258160746387,154565.49179632182,673153.7000737364
61002.16341120516,90,HIGH,stable,1786.855177036261,75.83354483678028,0.02,0.022726957739102,44549.38659981113,154972.30825295224
149119.91021081622,90,MEDIUM,volatile,9.447438132737359,31969.729421303764,0.2,0.035266602730987674,109156.77340897331,282515.90493046
28746.842498632494,30,HIGH,volatile,2.4208731853195355,18118.474086170372,0.2,0.021758694077718115,22689.310339955846,96595.8337603223
150205.34766463828,120,HIGH,volatile,3.4700187667248525,44335.688781165794,0.2,0.05991234718102956,153644.6456658195,678541.0709144014
176430.15996768247,30,MEDIUM,stable,2946.029913106432,74.91268331958432,0.02,0.05475642179409761,169809.01390626797,365524.7916248151
180146.2609436309,120,LOW,stable,2429.354586805727,73.30579473404808,0.02,0.05408151042806818,130935.41733343442,201190.38261130612
24201.42214947689,60,MEDIUM,stable,393.53594028303695,93.29058927956244,0.02,0.028250757766796336,24724.62444389881,51883.905754976346
166146.52846217313,30,MEDIUM,stable,4451.404004298879,73.6429955086246,0.02,0.042749376955045465,161856.8432539575,344441.0662428054
22877.368030839298,30,LOW,volatile,0.4554219570049383,37938.17162562115,0.2,0.05471829700410079,20847.573000871962,39264.851235979186
96200.9937032698,90,LOW,stable,332.1059738273212,84.97433872105682,0.02,0.035155738515358796,71615.55122533506,108065.96037586914
136821.78440754686,60,MEDIUM,stable,1119.944759891647,82.4749580769722,0.02,0.02140038955868247,111105.1718642303,231597.6853553249
97365.5731908381,90,LOW,stable,643.6273460108642,74.7234928614845,0.02,0.03681140838163714,78402.52157344778,118496.54345953075
68642.0108398193,180,HIGH,volatile,8.990766225249821,15569.287701647489,0.2,0.05568009550500949,63426.3505476036,278991.39918178495
137080.4103416752,180,LOW,stable,1199.2947303537442,74.30412723857532,0.02,0.024444853559490776,124161.18036696482,185417.32104782626
132514.8762462719,120,LOW,stable,808.8558194306546,80.03169817061234,0.02,0.023498101834230685,105618.90796567737,157581.27087561967
116995.63837794785,90,HIGH,volatile,6.261596910421369,20356.29569157606,0.2,0.043932978960139216,94635.985824098,411640.1108257505
106157.30429056965,30,LOW,stable,1332.1022398785774,70.56369791128375,0.02,0.02907272048010042,93572.84422904353,140369.18567615526
141442.2399253453,90,LOW,volatile,5.767872625446471,37946.58576534869,0.2,0.03555079955663482,140861.2388990492,260480.30101508673
81204.37428352915,30,MEDIUM,stable,1728.8627185316723,75.19356990318988,0.02,0.0359730432423464,60430.57075044053,127764.16792899143
14684.881300725334,30,HIGH,volatile,1.517969796440139,18062.301797220156,0.2,0.04799955056005514,14009.49901201129,61174.78611733071
107953.4475280535,60,LOW,volatile,4.984364026549335,32897.75445388496,0.2,0.021127344524855558,113187.676033455,206391.12689460992
144967.65489652348,120,LOW,volatile,9.287671316511338,18940.677952468184,0.2,0.046364412428147,139517.81452552436,260690.13574867765
60532.8216155973,120,MEDIUM,volatile,8.876484480585654,15077.94237638333,0.2,0.039621699936528504,51728.316070933586,134444.69972129504
29009.476489050532,120,HIGH,volatile,5.246283016020533,18922.022820291833,0.2,0.04051163918971212,27735.55722231568,120246.54212179896
182456.3976382617,60,MEDIUM,volatile,7.590761218860977,22999.432599145137,0.2,0.0482844574829701,182682.6919210835,478758.5664800539
172886.183284493,120,LOW,volatile,3.8939279504443958,35321.37724290989,0.2,0.04565211285270627,167522.39548304095,312803.8335481936
124068.40963897252,180,LOW,volatile,4.9857126147556645,24977.83813608128,0.2,0.047066745293418887,87401.86778984597,163420.69507014236
157534.82358711117,120,LOW,volatile,4.4582898358506595,42557.05715455234,0.2,0.03196154443977144,117524.55920491175,216572.90290482872
193792.25764010992,120,LOW,volatile,1.9550388123153308,37267.88240580265,0.2,0.05410373345811309,142921.77329661982,269025.6693293232
114282.53716464131,180,MEDIUM,stable,1900.1229456211227,71.28174416629541,0.02,0.04462528909608478,81270.77844934598,173260.22537288142
49592.15523546763,120,LOW,stable,318.3065098096525,79.1795616852271,0.02,0.03841240655672502,47116.66612750439,71321.47326879237
128123.58611599164,180,MEDIUM,volatile,17.72420998828316,15641.675448794322,0.2,0.04006928997069771,101676.40589776075,264376.2682221412
183004.14154399032,60,MEDIUM,stable,4284.925446020001,91.27350533683239,0.02,0.02980393642688523,174345.26623663935,366411.10503649904
138339.4920782975,60,MEDIUM,volatile,14.305792874444494,23087.799561944783,0.2,0.05153999128407097,129089.34639159514,339356.52544871095
6221.837838731223,30,LOW,stable,110.70220606048949,72.71327973538963,0.02,0.031125487553849418,5495.524779091938,8260.314383681392
183509.38816864064,30,HIGH,volatile,17.82436835003495,34357.87140212631,0.2,0.04317759648223078,132291.91393984284,575016.5034074974
150981.3757955396,90,MEDIUM,volatile,6.962809614373649,21156.71360951132,0.2,0.05735094982006729,121820.40679642941,322017.307084179
